id,nom,pays,ville,code_fifa
1210,ESV Ingolstadt-Ringsee,Allemagne,Ingolstadt,GER
1211,SG Eintracht 02 Bad Kreuznach,Allemagne,Bad Kreuznach,GER
1212,SpVgg Bayern Hof,Allemagne,Hof,GER
1213,FC Hanau 93,Allemagne,Hanau,GER
1214,FC Remscheid,Allemagne,Remscheid,GER
1215,FK 03 Pirmasens,Allemagne,Pirmasens,GER
1216,FSV Salmrohr,Allemagne,Salmrohr,GER
1217,Würzburger FV,Allemagne,Würzburg,GER
1218,Fribourg FC,Allemagne,Fribourg,GER
1219,HSV Barmbek-Uhlenhorst,Allemagne,Hambourg,GER
1220,Hallescher FC,Allemagne,Halle,GER
1221,KSV Hessen Kassel,Allemagne,Cassel,GER
1222,KSV Baunatal,Allemagne,Baunatal,GER
1223,MTV Ingolstadt,Allemagne,Ingolstadt,GER
1224,OSC Bremerhaven,Allemagne,Bremerhaven,GER
1225,OSV Hanovre,Allemagne,Hanovre,GER
1226,TSR Olympia Wilhelmshaven,Allemagne,Wilhelmshaven,GER
1227,Rot-Weiss Lüdenscheid,Allemagne,Lüdenscheid,GER
1228,SCC Berlin,Allemagne,Berlin,GER
1229,SC Göttingen 05,Allemagne,Göttingen,GER
1230,SC Herford,Allemagne,Herford,GER
1231,FC Viktoria Cologne 1904,Allemagne,Cologne,GER
1232,FC Union Solingen,Allemagne,Solingen,GER
1233,SV Röchling Völklingen 06,Allemagne,Völklingen,GER
1234,Schwarz-Weiß Essen,Allemagne,Essen,GER
1235,SpVgg Bayreuth,Allemagne,Bayreuth,GER
1236,SpVgg Erkenschwick,Allemagne,Oer-Erkenschwick,GER
1237,Spandauer SV,Allemagne,Berlin,GER
1238,TSV Havelse,Allemagne,Garbsen,GER
1239,TuS Schloss-Neuhaus,Allemagne,Paderborn,GER
1240,VfB Eppingen,Allemagne,Eppingen,GER
1241,VfB Leipzig,Allemagne,Leipzig,GER
1242,VfR 1910 Bürstadt,Allemagne,Bürstadt,GER
1243,VfR Heilbronn,Allemagne,Heilbronn,GER
1244,VfR Mannheim,Allemagne,Mannheim,GER
1245,SV Viktoria Aschaffenbourg,Allemagne,Aschaffenbourg,GER
1246,Wacker 04 Berlin,Allemagne,Berlin,GER
1247,SC Westfalia Herne,Allemagne,Herne,GER
1248,VfR Wormatia 08 Worms,Allemagne,Worms,GER
