bonus_id,participant,id_participant,saison,saison_id,code_saison,competition,competition_id,bonus_mi_saison,bonus_fin_saison,regularite,extra_questions,total_bonus,correction
26,Valentin,23,2015-2016,16,PL_15-16,Premier League,16,-9.0,-9.0,0.0,0.0,-18.0,0.0
27,Valentin,23,2015-2016,19,EL_15-16,Europa League,7,0.0,36.0,0.0,0.0,36.0,0.0
28,Valentin,23,2015-2016,18,SER_15-16,Serie A,17,6.0,12.0,0.0,0.0,18.0,0.0
29,Valentin,23,2015-2016,10,L1_15-16,Ligue 1,9,-2.0,3.0,0.0,0.0,1.0,0.0
30,Valentin,23,2015-2016,11,L2_15-16,Ligue 2,10,-15.0,6.0,0.0,0.0,-9.0,0.0
31,Valentin,23,2015-2016,20,LdC_15-16,Ligue des Champions,12,42.0,24.0,0.0,0.0,66.0,0.0
32,Valentin,23,2015-2016,12,NAT_15-16,National,15,-7.0,-17.0,0.0,0.0,-24.0,0.0
33,Hélène,9,2016-2017,27,L1_16-17,Ligue 1,9,11.0,19.0,0.0,0.0,30.0,0.0
34,Kévin,10,2016-2017,32,BUN_16-17,Bundesliga,1,-7.0,7.0,0.0,0.0,0.0,0.0
35,Kévin,10,2016-2017,33,PL_16-17,Premier League,16,10.0,8.0,0.0,0.0,18.0,0.0
36,Kévin,10,2016-2017,36,EL_16-17,Europa League,7,6.0,183.0,0.0,0.0,189.0,0.0
37,Kévin,10,2016-2017,35,SER_16-17,Serie A,17,14.0,22.0,0.0,0.0,36.0,0.0
38,Kévin,10,2016-2017,27,L1_16-17,Ligue 1,9,-5.0,19.0,0.0,0.0,14.0,0.0
39,Kévin,10,2016-2017,28,L2_16-17,Ligue 2,10,10.0,-6.0,0.0,0.0,4.0,0.0
40,Kévin,10,2016-2017,37,LdC_16-17,Ligue des Champions,12,12.0,214.0,0.0,0.0,226.0,0.0
41,Kévin,10,2016-2017,29,NAT_16-17,National,15,-17.0,-12.0,0.0,0.0,-29.0,0.0
42,Matthieu,15,2016-2017,32,BUN_16-17,Bundesliga,1,-4.0,20.0,0.0,0.0,16.0,0.0
43,Matthieu,15,2016-2017,33,PL_16-17,Premier League,16,-9.0,26.0,0.0,0.0,17.0,0.0
44,Matthieu,15,2016-2017,36,EL_16-17,Europa League,7,-54.0,184.0,0.0,0.0,130.0,0.0
45,Matthieu,15,2016-2017,35,SER_16-17,Serie A,17,8.0,20.0,0.0,0.0,28.0,0.0
46,Matthieu,15,2016-2017,27,L1_16-17,Ligue 1,9,0.0,17.0,0.0,0.0,17.0,0.0
47,Matthieu,15,2016-2017,28,L2_16-17,Ligue 2,10,6.0,-12.0,0.0,0.0,-6.0,0.0
48,Matthieu,15,2016-2017,37,LdC_16-17,Ligue des Champions,12,0.0,152.0,0.0,0.0,152.0,0.0
49,Matthieu,15,2016-2017,29,NAT_16-17,National,15,-4.0,-17.0,0.0,0.0,-21.0,0.0
50,Valentin,23,2016-2017,32,BUN_16-17,Bundesliga,1,-12.0,16.0,0.0,0.0,4.0,0.0
51,Valentin,23,2016-2017,33,PL_16-17,Premier League,16,-11.0,12.0,0.0,0.0,1.0,0.0
52,Valentin,23,2016-2017,36,EL_16-17,Europa League,7,-48.0,172.0,0.0,0.0,124.0,0.0
53,Valentin,23,2016-2017,35,SER_16-17,Serie A,17,2.0,22.0,0.0,0.0,24.0,0.0
54,Valentin,23,2016-2017,27,L1_16-17,Ligue 1,9,6.0,15.0,0.0,0.0,21.0,0.0
55,Valentin,23,2016-2017,28,L2_16-17,Ligue 2,10,8.0,-12.0,0.0,0.0,-4.0,0.0
56,Valentin,23,2016-2017,37,LdC_16-17,Ligue des Champions,12,0.0,143.0,0.0,0.0,143.0,0.0
57,Valentin,23,2016-2017,29,NAT_16-17,National,15,1.0,-15.0,0.0,0.0,-14.0,0.0
58,Hélène,9,2018-2019,46,L1_18-19,Ligue 1,9,49.74,54.47,0.0,0.0,104.21,-163.81
59,Sébastien,21,2018-2019,46,L1_18-19,Ligue 1,9,23.32,76.9,0.0,0.0,100.22,-23.31
60,Matthieu,15,2018-2019,46,L1_18-19,Ligue 1,9,49.74,76.9,0.0,0.0,126.64,-28.8
61,Titouan,22,2018-2019,46,L1_18-19,Ligue 1,9,9.33,54.47,0.0,0.0,63.8,-91.63
62,Mario,13,2018-2019,46,L1_18-19,Ligue 1,9,18.65,41.65,0.0,0.0,60.3,-32.52
63,Alexandre M,3,2018-2019,46,L1_18-19,Ligue 1,9,18.65,51.27,0.0,0.0,69.92,-35.84
64,Ronan,20,2018-2019,46,L1_18-19,Ligue 1,9,49.74,64.08,0.0,0.0,113.82,-4.27
65,Kévin,10,2018-2019,46,L1_18-19,Ligue 1,9,18.65,38.35,0.0,0.0,57.0,-18.95
66,Florian,8,2018-2019,46,L1_18-19,Ligue 1,9,49.74,51.27,0.0,0.0,101.01,2.47
67,Damien,6,2018-2019,46,L1_18-19,Ligue 1,9,49.74,0.0,0.0,0.0,49.74,-0.5
68,Yohan,25,2018-2019,46,L1_18-19,Ligue 1,9,0.0,67.29,0.0,0.0,67.29,-94.07
69,Hélène,9,2019-2020,47,L1_19-20,Ligue 1,9,9.24,42.06,0.0,0.0,51.3,-58.91
70,Antoine,4,2019-2020,47,L1_19-20,Ligue 1,9,18.48,39.72,0.0,0.0,58.2,-20.99
71,Florian,8,2019-2020,47,L1_19-20,Ligue 1,9,46.21,63.09,0.0,0.0,109.3,-99.58
72,Matthieu,15,2019-2020,47,L1_19-20,Ligue 1,9,18.48,56.08,0.0,0.0,74.56,-92.46
73,Sébastien,21,2019-2020,47,L1_19-20,Ligue 1,9,18.48,32.71,0.0,0.0,51.19,-49.39
74,Yohan,25,2019-2020,47,L1_19-20,Ligue 1,9,9.24,42.06,0.0,0.0,51.3,-82.71
75,Titouan,22,2019-2020,47,L1_19-20,Ligue 1,9,9.24,42.06,0.0,0.0,51.3,-26.22
76,Kévin,10,2019-2020,47,L1_19-20,Ligue 1,9,9.24,32.71,0.0,0.0,41.95,-32.79
77,Ronan,20,2019-2020,47,L1_19-20,Ligue 1,9,9.24,37.38,0.0,0.0,46.62,-89.94
78,Mario,13,2019-2020,47,L1_19-20,Ligue 1,9,9.24,56.08,0.0,0.0,65.32,-87.45
79,Virgyl,24,2019-2020,47,L1_19-20,Ligue 1,9,0.0,37.38,0.0,0.0,37.38,-30.78
80,Kévin,10,2020-2021,48,L1_20-21,Ligue 1,9,6.52,56.57,0.0,0.0,63.09,-170.64
81,Cédric,5,2020-2021,48,L1_20-21,Ligue 1,9,48.93,56.57,0.0,0.0,105.5,-142.09
82,Titouan,22,2020-2021,48,L1_20-21,Ligue 1,9,6.52,39.93,0.0,0.0,46.45,-56.85
83,Florian,8,2020-2021,48,L1_20-21,Ligue 1,9,19.57,56.57,0.0,0.0,76.14,-93.01
84,Matthieu,15,2020-2021,48,L1_20-21,Ligue 1,9,19.57,56.57,0.0,0.0,76.14,-126.16
85,Sébastien,21,2020-2021,48,L1_20-21,Ligue 1,9,13.05,56.57,0.0,0.0,69.62,-111.57
86,Alexandre K,2,2020-2021,48,L1_20-21,Ligue 1,9,6.52,56.57,0.0,0.0,63.09,-81.79
87,Yohan,25,2020-2021,48,L1_20-21,Ligue 1,9,19.57,39.93,0.0,0.0,59.5,-152.09
88,Marie,12,2020-2021,48,L1_20-21,Ligue 1,9,6.52,53.25,0.0,0.0,59.77,-113.98
89,Antoine,4,2020-2021,48,L1_20-21,Ligue 1,9,19.57,59.9,0.0,0.0,79.47,-96.54
90,Alexandre M,3,2020-2021,48,L1_20-21,Ligue 1,9,9.79,56.57,0.0,0.0,66.36,-68.25
91,Antoine,4,2021-2022,49,L1_21-22,Ligue 1,9,54.91,43.58,0.0,0.0,98.49,-62.12
92,Kévin,10,2021-2022,49,L1_21-22,Ligue 1,9,51.48,53.63,0.0,0.0,105.11,-63.46
93,Cédric,5,2021-2022,49,L1_21-22,Ligue 1,9,51.48,40.23,0.0,0.0,91.71,-151.59
94,Marie,12,2021-2022,49,L1_21-22,Ligue 1,9,0.0,46.93,0.0,0.0,46.93,-68.94
95,Sébastien,21,2021-2022,49,L1_21-22,Ligue 1,9,54.91,53.63,0.0,0.0,108.54,-54.78
96,Yohan,25,2021-2022,49,L1_21-22,Ligue 1,9,51.48,53.63,0.0,0.0,105.11,-98.46
97,Titouan,22,2021-2022,49,L1_21-22,Ligue 1,9,20.59,46.93,0.0,0.0,67.52,-16.13
98,Matthieu,15,2021-2022,49,L1_21-22,Ligue 1,9,54.91,53.63,0.0,0.0,108.54,-104.63
99,Florian,8,2021-2022,49,L1_21-22,Ligue 1,9,20.59,46.93,0.0,0.0,67.52,-72.48
100,Titouan,22,2022-2023,52,L1_22-23,Ligue 1,9,55.25,189.03,0.0,0.0,244.28,-24.88
101,Florian,8,2022-2023,52,L1_22-23,Ligue 1,9,55.25,127.66,0.0,0.0,182.91,-24.84
102,Adrien,1,2022-2023,52,L1_22-23,Ligue 1,9,22.1,131.01,0.0,0.0,153.11,-22.84
103,Damien,6,2022-2023,52,L1_22-23,Ligue 1,9,55.25,106.11,0.0,0.0,161.36,-23.43
104,Killian,11,2022-2023,52,L1_22-23,Ligue 1,9,55.25,103.3,0.0,0.0,158.55,-19.62
105,Kévin,10,2022-2023,52,L1_22-23,Ligue 1,9,55.25,131.5,0.0,0.0,186.75,-27.46
106,Antoine,4,2022-2023,52,L1_22-23,Ligue 1,9,22.1,102.68,0.0,0.0,124.78,-29.79
107,Mathieu,14,2022-2023,52,L1_22-23,Ligue 1,9,55.25,131.5,0.0,0.0,186.75,-27.58
108,Olivier,17,2022-2023,52,L1_22-23,Ligue 1,9,55.25,131.01,0.0,0.0,186.26,-26.48
109,Pierre,18,2022-2023,52,L1_22-23,Ligue 1,9,58.93,119.44,0.0,0.0,178.37,-30.95
110,Cédric,5,2022-2023,52,L1_22-23,Ligue 1,9,22.1,134.93,0.0,0.0,157.03,-24.13
111,Sébastien,21,2022-2023,52,L1_22-23,Ligue 1,9,22.1,118.01,0.0,0.0,140.11,-27.45
112,Matthieu,15,2022-2023,52,L1_22-23,Ligue 1,9,22.1,142.52,0.0,0.0,164.62,-25.71
113,Marie,12,2022-2023,52,L1_22-23,Ligue 1,9,55.25,69.72,0.0,0.0,124.97,-33.55
114,Raphaël,19,2022-2023,52,L1_22-23,Ligue 1,9,22.1,119.8,0.0,0.0,141.9,-22.87
115,Kévin,10,2023-2024,56,L1_23-24,Ligue 1,9,15.61,180.14,32.44,10.0,238.19,0.0
116,Sébastien,21,2023-2024,56,L1_23-24,Ligue 1,9,15.61,187.54,22.14,30.0,255.29,-0.01
117,Olivier,17,2023-2024,56,L1_23-24,Ligue 1,9,15.61,159.18,24.32,10.0,209.11,0.0
118,Cédric,5,2023-2024,56,L1_23-24,Ligue 1,9,39.03,124.61,41.73,20.0,225.37,0.0
119,Raphaël,19,2023-2024,56,L1_23-24,Ligue 1,9,7.81,109.22,21.27,10.0,148.3,-0.01
120,Pierre,18,2023-2024,56,L1_23-24,Ligue 1,9,39.03,91.3,20.52,20.0,170.85,0.0
121,Titouan,22,2023-2024,56,L1_23-24,Ligue 1,9,39.03,122.79,-6.19,10.0,165.63,0.0
122,Matthieu,15,2023-2024,56,L1_23-24,Ligue 1,9,15.61,81.74,1.11,0.0,98.46,0.0
123,Florian,8,2023-2024,56,L1_23-24,Ligue 1,9,15.61,98.05,2.67,20.0,136.33,0.01
124,Damien,6,2023-2024,56,L1_23-24,Ligue 1,9,39.03,111.19,-5.09,20.0,165.13,0.0
125,Antoine,4,2023-2024,56,L1_23-24,Ligue 1,9,41.63,179.96,-24.27,10.0,207.32,0.0
126,Yohan,25,2023-2024,56,L1_23-24,Ligue 1,9,15.61,66.81,-33.84,20.0,68.58,0.01
127,Killian,11,2023-2024,56,L1_23-24,Ligue 1,9,0.0,13.4,-57.81,10.0,-34.41,0.0
128,Olivier,17,2024-2025,57,L1_24-25,Ligue 1,9,16.66,45.36,0.0,20.0,82.02,-0.01
129,Titouan,22,2024-2025,57,L1_24-25,Ligue 1,9,16.66,72.76,0.0,20.0,109.42,-0.01
130,Kévin,10,2024-2025,57,L1_24-25,Ligue 1,9,16.66,33.8,0.0,10.0,60.46,0.0
131,Cédric,5,2024-2025,57,L1_24-25,Ligue 1,9,0.0,17.28,0.0,0.0,17.28,0.0
132,Damien,6,2024-2025,57,L1_24-25,Ligue 1,9,11.11,48.46,0.0,10.0,69.57,-0.01
133,Sébastien,21,2024-2025,57,L1_24-25,Ligue 1,9,16.66,28.82,0.0,10.0,55.48,0.0
134,Matthieu,15,2024-2025,57,L1_24-25,Ligue 1,9,11.11,41.36,0.0,10.0,62.47,-0.01
135,Antoine,4,2024-2025,57,L1_24-25,Ligue 1,9,16.66,34.39,0.0,20.0,71.05,0.0
136,Dimitri,7,2015-2016,61,C_15-16,Coupes,34,0.0,10.0,0.0,0.0,10.0,0.0
137,Dimitri,7,2015-2016,17,LIG_15-16,LaLiga,8,6.0,10.0,0.0,0.0,16.0,0.0
138,Kévin,10,2015-2016,61,C_15-16,Coupes,34,0.0,10.0,0.0,0.0,10.0,0.0
139,Kévin,10,2015-2016,17,LIG_15-16,LaLiga,8,-14.0,12.0,0.0,0.0,-2.0,0.0
140,Matthieu,15,2015-2016,61,C_15-16,Coupes,34,0.0,10.0,0.0,0.0,10.0,0.0
141,Matthieu,15,2015-2016,17,LIG_15-16,LaLiga,8,10.0,6.0,0.0,0.0,16.0,0.0
142,Valentin,23,2015-2016,61,C_15-16,Coupes,34,0.0,10.0,0.0,0.0,10.0,0.0
143,Valentin,23,2015-2016,17,LIG_15-16,LaLiga,8,12.0,10.0,0.0,0.0,22.0,0.0
144,Kévin,10,2016-2017,242,C_16-17,Coupes,34,0.0,15.0,0.0,0.0,15.0,0.0
145,Kévin,10,2016-2017,34,LIG_16-17,LaLiga,8,8.0,31.0,0.0,0.0,39.0,0.0
146,Matthieu,15,2016-2017,242,C_16-17,Coupes,34,0.0,5.0,0.0,0.0,5.0,0.0
147,Matthieu,15,2016-2017,34,LIG_16-17,LaLiga,8,10.0,35.0,0.0,0.0,45.0,0.0
148,Valentin,23,2016-2017,242,C_16-17,Coupes,34,0.0,10.0,0.0,0.0,10.0,0.0
149,Valentin,23,2016-2017,34,LIG_16-17,LaLiga,8,7.0,25.0,0.0,0.0,32.0,0.0
150,Mélissandre,16,2020-2021,48,L1_20-21,Ligue 1,9,52.19,53.25,0.0,0.0,105.44,-103.15
151,Mélissandre,16,2021-2022,49,L1_21-22,Ligue 1,9,20.59,46.93,0.0,0.0,67.52,-126.72
152,Kévin,10,2025-2026,59,L1_25-26,Ligue 1,9,5.04,,,,,
153,Cédric,5,2025-2026,59,L1_25-26,Ligue 1,9,5.04,,,,,
154,Sébastien,21,2025-2026,59,L1_25-26,Ligue 1,9,5.04,,,,,
155,Matthieu,15,2025-2026,59,L1_25-26,Ligue 1,9,5.04,,,,,
156,Olivier,17,2025-2026,59,L1_25-26,Ligue 1,9,15.11,,,,,
157,Pierre,18,2025-2026,59,L1_25-26,Ligue 1,9,0.0,,,,,
